# Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type
11/03/2018 07:10:01,Class A,219001261,56.147000,10.247333,Under way using engine,0.0,0.0,22.0,109,7236347,OWSG2,JOHN MADSEN,Dredging,,8,30,GPS,2.0,DK EGA,25/02/2019 09:00:00,AIS
11/03/2018 07:10:08,Class A,218176000,56.094045,10.341405,Under way using engine,0.0,8.6,331.6,335,8905115,DJLS,MAIKE,Cargo,,11,82,GPS,3.8,DK AAR,11/03/2018 10:00:00,AIS
11/03/2018 07:10:09,Class A,219001261,56.147000,10.247333,Under way using engine,0.0,0.0,9.0,109,7236347,OWSG2,JOHN MADSEN,Dredging,,8,30,GPS,2.0,DK EGA,25/02/2019 09:00:00,AIS
11/03/2018 07:10:17,Class A,218176000,56.094358,10.341098,Under way using engine,0.0,8.6,331.8,335,8905115,DJLS,MAIKE,Cargo,,11,82,GPS,3.8,DK AAR,11/03/2018 10:00:00,AIS
11/03/2018 07:10:20,Class A,219001261,56.147000,10.247333,Under way using engine,0.0,0.0,211.0,109,7236347,OWSG2,JOHN MADSEN,Dredging,,8,30,GPS,2.0,DK EGA,25/02/2019 09:00:00,AIS
11/03/2018 07:10:29,Class A,218176000,56.094748,10.340725,Under way using engine,0.0,8.6,331.9,335,8905115,DJLS,MAIKE,Cargo,,11,82,GPS,3.8,DK AAR,11/03/2018 10:00:00,AIS
11/03/2018 07:10:31,Class A,219001261,56.147000,10.247333,Under way using engine,0.0,0.0,20.0,109,7236347,OWSG2,JOHN MADSEN,Dredging,,8,30,GPS,2.0,DK EGA,25/02/2019 09:00:00,AIS
11/03/2018 07:10:38,Class A,218176000,56.095067,10.340420,Under way using engine,0.0,8.7,332.0,335,8905115,DJLS,MAIKE,Cargo,,11,82,GPS,3.8,DK AAR,11/03/2018 10:00:00,AIS
11/03/2018 07:10:39,Class A,219001261,56.147000,10.247333,Under way using engine,0.0,0.0,243.0,109,7236347,OWSG2,JOHN MADSEN,Dredging,,8,30,GPS,2.0,DK EGA,25/02/2019 09:00:00,AIS
11/03/2018 07:10:48,Class A,218176000,56.095453,10.340043,Under way using engine,0.0,8.6,332.0,335,8905115,DJLS,MAIKE,Cargo,,11,82,GPS,3.8,DK AAR,11/03/2018 10:00:00,AIS
11/03/2018 07:10:50,Class A,219001261,56.147000,10.247333,Under way using engine,0.0,0.0,356.0,109,7236347,OWSG2,JOHN MADSEN,Dredging,,8,30,GPS,2.0,DK EGA,25/02/2019 09:00:00,AIS
11/03/2018 07:10:58,Class A,218176000,56.095807,10.339703,Under way using engine,0.0,8.6,331.6,335,8905115,DJLS,MAIKE,Cargo,,11,82,GPS,3.8,DK AAR,11/03/2018 10:00:00,AIS
11/03/2018 07:11:01,Class A,219001261,56.147000,10.247333,Under way using engine,0.0,0.0,4.0,109,7236347,OWSG2,JOHN MADSEN,Dredging,,8,30,GPS,2.0,DK EGA,25/02/2019 09:00:00,AIS
11/03/2018 07:11:07,Class A,218176000,56.095807,10.339703,Under way using engine,0.0,8.6,331.6,335,8905115,DJLS,MAIKE,Cargo,,11,82,GPS,3.8,DK AAR,11/03/2018 10:00:00,AIS
11/03/2018 07:11:08,Class A,218176000,56.096162,10.339368,Under way using engine,0.0,8.6,332.1,335,8905115,DJLS,MAIKE,Cargo,,11,82,GPS,3.8,DK AAR,11/03/2018 10:00:00,AIS
11/03/2018 07:11:09,Class A,219001261,56.147000,10.247333,Under way using engine,0.0,0.0,3.0,109,7236347,OWSG2,JOHN MADSEN,Dredging,,8,30,GPS,2.0,DK EGA,25/02/2019 09:00:00,AIS
11/03/2018 07:11:17,Class A,218176000,56.096478,10.339062,Under way using engine,0.0,8.7,331.9,335,8905115,DJLS,MAIKE,Cargo,,11,82,GPS,3.8,DK AAR,11/03/2018 10:00:00,AIS
11/03/2018 07:11:20,Class A,219001261,56.147000,10.247333,Under way using engine,0.0,0.0,347.0,110,7236347,OWSG2,JOHN MADSEN,Dredging,,8,30,GPS,2.0,DK EGA,25/02/2019 09:00:00,AIS
11/03/2018 07:11:29,Class A,218176000,56.096868,10.338692,Under way using engine,0.0,8.6,332.2,335,8905115,DJLS,MAIKE,Cargo,,11,82,GPS,3.8,DK AAR,11/03/2018 10:00:00,AIS
11/03/2018 07:11:31,Class A,219001261,56.147000,10.247333,Under way using engine,0.0,0.0,2.0,109,7236347,OWSG2,JOHN MADSEN,Dredging,,8,30,GPS,2.0,DK EGA,25/02/2019 09:00:00,AIS
11/03/2018 07:11:38,Class A,218176000,56.097188,10.338388,Under way using engine,0.0,8.6,332.1,335,8905115,DJLS,MAIKE,Cargo,,11,82,GPS,3.8,DK AAR,11/03/2018 10:00:00,AIS
11/03/2018 07:11:40,Class A,219001261,56.147000,10.247333,Under way using engine,0.0,0.0,15.0,110,7236347,OWSG2,JOHN MADSEN,Dredging,,8,30,GPS,2.0,DK EGA,25/02/2019 09:00:00,AIS
11/03/2018 07:11:48,Class A,218176000,56.097577,10.338013,Under way using engine,0.0,8.6,331.7,335,8905115,DJLS,MAIKE,Cargo,,11,82,GPS,3.8,DK AAR,11/03/2018 10:00:00,AIS
11/03/2018 07:11:50,Class A,219001261,56.147000,10.247333,Under way using engine,0.0,0.0,235.0,109,7236347,OWSG2,JOHN MADSEN,Dredging,,8,30,GPS,2.0,DK EGA,25/02/2019 09:00:00,AIS
11/03/2018 07:11:58,Class A,218176000,56.097928,10.337675,Under way using engine,0.0,8.7,331.7,335,8905115,DJLS,MAIKE,Cargo,,11,82,GPS,3.8,DK AAR,11/03/2018 10:00:00,AIS
11/03/2018 07:12:01,Class A,219001261,56.147000,10.247333,Under way using engine,0.0,0.0,26.0,110,7236347,OWSG2,JOHN MADSEN,Dredging,,8,30,GPS,2.0,DK EGA,25/02/2019 09:00:00,AIS
11/03/2018 07:12:08,Class A,218176000,56.098283,10.337335,Under way using engine,0.0,8.7,331.8,335,8905115,DJLS,MAIKE,Cargo,,11,82,GPS,3.8,DK AAR,11/03/2018 10:00:00,AIS
11/03/2018 07:12:09,Class A,219001261,56.147000,10.247333,Under way using engine,0.0,0.0,7.0,110,7236347,OWSG2,JOHN MADSEN,Dredging,,8,30,GPS,2.0,DK EGA,25/02/2019 09:00:00,AIS
11/03/2018 07:12:17,Class A,218176000,56.098603,10.337030,Under way using engine,0.0,8.7,331.7,335,8905115,DJLS,MAIKE,Cargo,,11,82,GPS,3.8,DK AAR,11/03/2018 10:00:00,AIS
11/03/2018 07:12:20,Class A,219001261,56.147000,10.247333,Under way using engine,0.0,0.0,17.0,109,7236347,OWSG2,JOHN MADSEN,Dredging,,8,30,GPS,2.0,DK EGA,25/02/2019 09:00:00,AIS
