# Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
08/02/2021 12:00:05,Class A,266440000,55.379728,12.681158,Under way using engine,,12.2,10.6,12,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:00:06,Class A,377739000,55.427025,12.707210,Under way using engine,0.0,9.1,5.3,6,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:00:14,Class A,377739000,55.427363,12.707275,Under way using engine,0.0,9.2,6.5,6,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:00:16,Class A,266440000,55.380272,12.681368,Under way using engine,0.0,12.0,11.7,12,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:00:24,Class A,377739000,55.427805,12.707363,Under way using engine,0.0,9.2,6.3,5,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:00:26,Class A,266440000,55.380830,12.681585,Under way using engine,,12.3,12.3,12,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:00:34,Class A,266440000,55.381323,12.681800,Under way using engine,0.0,12.2,13.6,12,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:00:45,Class A,266440000,55.381872,12.682023,Under way using engine,0.0,12.2,13.9,11,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:00:46,Class A,377739000,55.428702,12.707482,Under way using engine,0.0,9.2,4.6,5,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:00:54,Class A,266440000,55.382420,12.682218,Under way using engine,,12.1,11.9,9,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
